employee_id,job_role,years_experience,education_level,country,industry,company_size,remote_work_type,team_size,salary_usd_k,primary_ai_tool,ai_tools_used_per_day,hours_with_ai_assistance_daily,ai_replaces_my_tasks_pct,ai_adoption_stage,weekly_ai_upskilling_hrs,productivity_score,burnout_score,job_satisfaction_1_5,fear_of_ai_replacement,attrition_risk
EMP0018,Product Manager,17,Master,Netherlands,SaaS,Large (1000-5000),Fully Remote,25,45,GitHub Copilot,7,6.2,17,Integrating,5.1,48,50,2.6,High,High
EMP0019,AI Researcher,15,Master,Singapore,Automotive,Enterprise (5000+),On-site,6,126,Midjourney,4,1.3,18,AI-First,6.6,54,48,3.0,Low,Low
EMP0020,ML Engineer,12,Self-taught,India,E-commerce,Mid (200-1000),Fully Remote,43,176,Notion AI,5,4.0,64,AI-First,5.5,64,50,3.8,Medium,Low
EMP0021,Backend Engineer,16,Bootcamp,Brazil,EdTech,Large (1000-5000),Hybrid,39,219,Notion AI,6,1.0,76,Experimenting,2.7,43,45,3.9,Medium,Low
EMP0022,Cloud Architect,19,Bootcamp,UK,Media,Small (50-200),Hybrid,29,247,Perplexity,4,5.0,29,Experimenting,8.0,44,52,2.5,High,High
EMP0023,Product Manager,8,Bootcamp,Singapore,Fintech,Small (50-200),Hybrid,43,101,Midjourney,5,2.5,48,Experimenting,1.7,73,48,3.6,Medium,Low
EMP0024,ML Engineer,17,Self-taught,Singapore,Gaming,Mid (200-1000),Fully Remote,44,97,Perplexity,4,4.5,14,Optimizing,9.0,58,27,3.4,High,Medium
EMP0025,Cloud Architect,5,PhD,Germany,EdTech,Startup (<50),Hybrid,33,147,GitHub Copilot,2,4.4,75,Experimenting,9.5,65,53,3.0,High,High
EMP0026,AI Researcher,16,Master,USA,Fintech,Startup (<50),On-site,25,58,Midjourney,4,7.4,54,Experimenting,3.7,59,59,3.0,Medium,Medium
EMP0027,Software Engineer,6,PhD,USA,Consulting,Startup (<50),Fully Remote,7,148,Midjourney,1,4.6,48,Integrating,3.8,76,52,3.6,High,Medium
EMP0028,Cloud Architect,8,Self-taught,UK,Gaming,Small (50-200),Hybrid,11,180,Notion AI,4,4.9,18,Experimenting,7.4,62,45,3.4,Low,Low
EMP0029,AI Ethics Officer,18,Bootcamp,Brazil,Cybersecurity,Startup (<50),Fully Remote,47,162,ChatGPT,5,3.5,19,Experimenting,4.6,72,32,3.4,Low,Low
EMP0030,Product Manager,12,Master,UK,Cybersecurity,Enterprise (5000+),Hybrid,4,199,Cursor,6,7.6,20,Integrating,0.3,59,50,2.7,High,Medium
EMP0031,Cloud Architect,15,Bachelor,UK,Gaming,Large (1000-5000),On-site,8,139,GitHub Copilot,6,6.3,6,Integrating,9.2,64,51,3.4,Medium,Low
EMP0032,Frontend Engineer,9,Bachelor,Australia,Media,Small (50-200),Hybrid,30,48,ChatGPT,3,2.6,34,Integrating,4.3,62,22,3.9,Medium,Low
EMP0033,Software Engineer,13,PhD,Netherlands,Media,Mid (200-1000),Hybrid,35,88,Gemini,7,6.8,34,AI-First,2.0,72,51,3.1,Medium,Low
EMP0034,Prompt Engineer,15,Bootcamp,Netherlands,Media,Mid (200-1000),Hybrid,8,204,GitHub Copilot,4,3.7,35,Experimenting,5.6,57,34,4.4,Low,Low
EMP0035,Prompt Engineer,10,Bachelor,Brazil,EdTech,Large (1000-5000),Hybrid,18,70,Perplexity,6,6.7,24,Integrating,2.2,62,50,3.6,Medium,Low
EMP0036,AI Ethics Officer,16,PhD,Australia,Automotive,Small (50-200),Fully Remote,14,198,Cursor,4,6.7,53,AI-First,2.1,63,47,4.2,Medium,Low
EMP0037,Cloud Architect,7,Self-taught,Singapore,EdTech,Startup (<50),Fully Remote,22,98,Midjourney,7,1.9,39,AI-First,5.5,69,46,3.0,Low,Low
EMP0038,Cloud Architect,17,PhD,Australia,Healthtech,Startup (<50),Hybrid,32,222,Perplexity,6,5.8,27,Integrating,3.9,51,62,2.6,Low,Low
EMP0039,Data Scientist,7,PhD,UK,SaaS,Enterprise (5000+),Hybrid,10,186,Midjourney,7,2.7,65,Optimizing,5.7,66,47,3.5,Medium,Low
EMP0040,Cloud Architect,14,PhD,USA,Gaming,Enterprise (5000+),Hybrid,46,230,ChatGPT,4,2.7,59,Experimenting,10.0,61,46,4.4,Medium,Low
EMP0041,Data Analyst,15,Master,Canada,E-commerce,Startup (<50),Fully Remote,48,169,ChatGPT,5,2.7,71,Optimizing,8.6,50,52,2.9,Low,Low
EMP0042,DevOps Engineer,7,PhD,Brazil,SaaS,Mid (200-1000),Fully Remote,14,84,Gemini,4,5.9,12,AI-First,0.1,67,47,3.5,Medium,Low
EMP0043,Frontend Engineer,9,PhD,Singapore,Consulting,Mid (200-1000),Fully Remote,18,135,Gemini,7,2.2,44,Integrating,0.5,68,39,4.4,High,Medium
EMP0044,Data Scientist,19,Master,Germany,EdTech,Enterprise (5000+),On-site,9,82,Cursor,5,0.5,63,Integrating,6.1,83,46,3.5,Medium,Low
EMP0045,AI Researcher,16,Master,Canada,EdTech,Large (1000-5000),Hybrid,10,137,Midjourney,5,5.9,36,Experimenting,6.3,59,47,3.9,High,Medium
EMP0046,Data Scientist,8,Self-taught,Canada,Fintech,Startup (<50),Fully Remote,10,40,Perplexity,3,1.8,11,Optimizing,8.8,67,33,4.9,High,Medium
EMP0047,Data Analyst,18,Bootcamp,Australia,SaaS,Enterprise (5000+),Fully Remote,41,228,Claude,6,1.3,6,Integrating,6.3,67,37,3.9,Low,Low
EMP0048,AI Researcher,18,Bachelor,India,Fintech,Enterprise (5000+),On-site,49,170,Perplexity,1,2.3,10,Optimizing,2.3,71,42,3.8,Low,Low
EMP0049,Frontend Engineer,7,Bachelor,Canada,E-commerce,Startup (<50),Fully Remote,31,130,Notion AI,5,3.3,40,Experimenting,4.7,50,36,4.2,Medium,Low
EMP0050,Data Analyst,3,PhD,UK,Fintech,Startup (<50),On-site,8,83,Gemini,7,4.1,36,Integrating,8.1,59,51,2.8,Medium,Medium
EMP0051,ML Engineer,18,Self-taught,France,SaaS,Mid (200-1000),Fully Remote,18,174,Midjourney,6,0.8,49,Integrating,9.2,52,71,1.9,Medium,Medium
EMP0052,DevOps Engineer,10,PhD,USA,Gaming,Large (1000-5000),On-site,40,72,Perplexity,2,7.8,46,Experimenting,2.4,53,71,2.7,Low,Medium
EMP0053,Frontend Engineer,7,Bachelor,USA,Consulting,Large (1000-5000),On-site,39,176,Perplexity,4,5.9,57,Experimenting,5.4,46,53,2.9,Medium,Medium
EMP0054,Cloud Architect,17,Master,France,EdTech,Startup (<50),Hybrid,6,69,Gemini,7,2.9,13,Integrating,1.6,48,40,4.2,Low,Low
EMP0055,ML Engineer,14,Bootcamp,Netherlands,E-commerce,Small (50-200),Fully Remote,18,185,Notion AI,2,2.9,79,Optimizing,5.0,32,59,3.2,High,High
EMP0056,AI Ethics Officer,3,Self-taught,UK,EdTech,Enterprise (5000+),Fully Remote,41,95,Perplexity,7,3.9,79,Optimizing,0.9,42,65,3.4,Low,Low
EMP0057,Frontend Engineer,12,Master,Germany,Healthtech,Enterprise (5000+),Hybrid,2,144,Perplexity,4,5.2,53,Optimizing,9.4,64,52,2.7,High,High
EMP0058,AI Ethics Officer,13,Bootcamp,Canada,Consulting,Startup (<50),Hybrid,17,70,GitHub Copilot,3,1.6,6,Integrating,6.4,51,32,4.4,Low,Low
EMP0059,AI Researcher,2,Self-taught,Netherlands,Automotive,Small (50-200),Fully Remote,18,239,Notion AI,7,1.9,71,AI-First,8.5,51,49,2.2,Low,Medium
EMP0060,ML Engineer,3,Self-taught,UK,Fintech,Mid (200-1000),Fully Remote,31,230,ChatGPT,5,6.9,15,Optimizing,10.0,53,57,2.5,Low,Medium
EMP0061,DevOps Engineer,5,Bachelor,Australia,Cybersecurity,Startup (<50),Hybrid,32,217,Midjourney,1,2.4,54,Integrating,1.8,46,53,3.5,High,Medium
EMP0062,Cloud Architect,11,Master,USA,SaaS,Startup (<50),Hybrid,36,128,Perplexity,5,3.4,39,Experimenting,6.9,50,51,3.0,Low,Medium
EMP0063,Cloud Architect,8,Self-taught,Netherlands,EdTech,Enterprise (5000+),Fully Remote,46,40,Gemini,4,7.0,19,Integrating,8.9,74,59,2.8,Medium,Medium
EMP0064,Data Analyst,12,Self-taught,Brazil,Fintech,Startup (<50),Fully Remote,9,149,ChatGPT,7,5.5,79,AI-First,5.8,78,74,2.6,High,High
EMP0065,Cloud Architect,7,Bootcamp,Canada,E-commerce,Startup (<50),On-site,49,121,Notion AI,1,3.1,35,Integrating,6.4,67,55,3.9,Medium,Low
EMP0066,Backend Engineer,15,Bachelor,Canada,EdTech,Startup (<50),Hybrid,31,58,Perplexity,5,5.6,66,Integrating,4.1,61,70,1.7,Medium,Medium
EMP0067,Data Scientist,17,PhD,Germany,Automotive,Enterprise (5000+),Hybrid,40,154,Perplexity,1,0.6,32,Experimenting,6.7,54,53,3.9,High,Medium
EMP0068,Software Engineer,4,Bachelor,India,Consulting,Mid (200-1000),Hybrid,22,165,Claude,4,6.0,29,Optimizing,4.0,51,42,4.3,High,Medium
EMP0069,DevOps Engineer,13,PhD,Brazil,Consulting,Mid (200-1000),Fully Remote,16,103,Gemini,3,4.2,29,Integrating,4.8,47,44,3.3,Medium,Low
EMP0070,ML Engineer,18,Master,Canada,EdTech,Startup (<50),Fully Remote,35,92,Midjourney,3,6.6,79,Integrating,1.0,56,72,2.3,Medium,Medium
EMP0071,Backend Engineer,1,Master,Singapore,E-commerce,Enterprise (5000+),Fully Remote,28,45,GitHub Copilot,7,7.7,5,Integrating,0.1,70,39,3.6,High,Medium
EMP0072,DevOps Engineer,16,Self-taught,Brazil,Consulting,Mid (200-1000),On-site,3,56,ChatGPT,5,7.4,63,Integrating,0.6,71,60,2.6,High,High
EMP0073,ML Engineer,13,Master,Canada,Consulting,Mid (200-1000),Hybrid,11,85,Notion AI,2,7.3,73,Integrating,1.9,48,68,2.9,Medium,Medium
EMP0074,Product Manager,10,Self-taught,France,Automotive,Mid (200-1000),Fully Remote,6,239,ChatGPT,4,4.3,78,Integrating,4.6,45,60,3.2,High,Medium
EMP0075,Product Manager,12,Bachelor,Brazil,SaaS,Enterprise (5000+),On-site,28,157,GitHub Copilot,5,3.2,46,Optimizing,0.2,67,50,2.6,Low,Medium
EMP0076,AI Ethics Officer,2,Master,UK,E-commerce,Enterprise (5000+),Fully Remote,5,112,Midjourney,5,4.0,38,Optimizing,1.6,41,40,3.2,Medium,Medium
EMP0077,DevOps Engineer,3,Bachelor,Brazil,E-commerce,Startup (<50),On-site,48,140,Cursor,3,5.7,70,Optimizing,7.8,55,62,2.3,Low,Medium
EMP0078,Product Manager,10,Bachelor,Germany,Gaming,Large (1000-5000),On-site,14,222,Notion AI,7,7.1,22,Experimenting,7.6,64,51,3.4,Low,Medium
EMP0079,ML Engineer,2,Master,Australia,Gaming,Mid (200-1000),Fully Remote,18,130,Claude,1,2.1,9,Optimizing,7.9,48,49,3.8,Medium,Low
EMP0080,AI Ethics Officer,13,Bachelor,Australia,Consulting,Large (1000-5000),Fully Remote,22,45,Cursor,4,7.4,24,Experimenting,9.2,42,49,2.8,Medium,Low
EMP0081,Cloud Architect,13,Master,Australia,Cybersecurity,Enterprise (5000+),Hybrid,24,237,Notion AI,1,6.6,70,Experimenting,1.2,48,58,3.5,Low,Low
EMP0082,ML Engineer,18,Master,UK,Gaming,Enterprise (5000+),Hybrid,34,148,Perplexity,6,7.8,79,AI-First,1.6,78,75,2.0,Medium,Medium
EMP0083,AI Ethics Officer,3,Master,Netherlands,Consulting,Enterprise (5000+),Hybrid,16,235,GitHub Copilot,6,7.1,66,Optimizing,3.3,67,38,4.1,Medium,Low
EMP0084,DevOps Engineer,7,PhD,Australia,Media,Large (1000-5000),On-site,15,79,Claude,4,2.6,36,Integrating,9.2,69,43,3.4,High,Medium
EMP0085,Backend Engineer,14,Bachelor,USA,Healthtech,Enterprise (5000+),Hybrid,10,130,Midjourney,7,1.3,62,AI-First,7.8,51,47,3.2,High,Medium
EMP0086,Data Analyst,17,Bootcamp,UK,Healthtech,Startup (<50),Fully Remote,45,105,Gemini,2,1.3,54,AI-First,3.2,56,50,3.9,Medium,Low
EMP0087,Cloud Architect,12,Master,Netherlands,E-commerce,Enterprise (5000+),Fully Remote,38,176,Gemini,6,2.7,42,Optimizing,0.9,62,57,4.0,High,Medium
EMP0088,Frontend Engineer,16,Bachelor,USA,Cybersecurity,Small (50-200),Hybrid,31,50,Notion AI,3,5.1,59,Optimizing,6.2,57,70,1.7,Low,High
EMP0089,Backend Engineer,12,Self-taught,USA,Automotive,Large (1000-5000),Fully Remote,30,187,Notion AI,2,6.5,32,Optimizing,2.6,59,54,3.5,Medium,Low
EMP0090,AI Researcher,15,Master,USA,SaaS,Small (50-200),Hybrid,24,155,Cursor,5,7.2,78,Experimenting,5.3,61,55,3.3,High,Medium
EMP0091,ML Engineer,10,Master,Singapore,Gaming,Enterprise (5000+),Fully Remote,35,82,Midjourney,6,5.2,26,Experimenting,9.4,50,44,3.9,Medium,Low
EMP0092,AI Researcher,7,Bootcamp,Germany,Media,Startup (<50),Fully Remote,8,97,Claude,3,0.5,47,Optimizing,5.7,62,41,2.9,Medium,Low
EMP0093,Backend Engineer,5,PhD,Germany,Consulting,Mid (200-1000),Fully Remote,10,245,Notion AI,5,1.9,40,Integrating,9.2,68,48,2.9,Low,Low
EMP0094,AI Ethics Officer,1,PhD,UK,Cybersecurity,Enterprise (5000+),Hybrid,5,193,Notion AI,2,1.2,56,Experimenting,3.9,67,49,3.0,Low,Low
EMP0095,Frontend Engineer,17,Master,USA,E-commerce,Startup (<50),Fully Remote,3,77,Cursor,4,3.2,40,Integrating,6.3,71,42,3.7,Medium,Low
EMP0096,Cloud Architect,3,Bachelor,France,Gaming,Large (1000-5000),Hybrid,28,133,GitHub Copilot,5,4.3,32,Integrating,8.9,64,38,3.4,High,Medium
EMP0097,Cloud Architect,13,Self-taught,Brazil,Cybersecurity,Small (50-200),Hybrid,34,75,Cursor,1,0.8,62,AI-First,5.9,40,43,3.4,Medium,Low
EMP0098,Cloud Architect,14,Self-taught,Netherlands,Gaming,Small (50-200),Hybrid,33,222,Midjourney,4,3.1,40,Optimizing,6.1,42,40,4.1,High,Low
EMP0099,Frontend Engineer,18,Bachelor,Germany,SaaS,Small (50-200),Hybrid,45,45,Perplexity,4,1.8,74,Integrating,7.2,55,68,3.8,High,Medium
EMP0100,Software Engineer,4,Master,Australia,SaaS,Large (1000-5000),Fully Remote,46,170,Midjourney,2,5.4,13,AI-First,8.8,63,38,4.1,Low,Low
EMP0101,Frontend Engineer,18,Self-taught,UK,Automotive,Startup (<50),Hybrid,47,104,Gemini,2,4.0,25,AI-First,0.9,62,45,3.9,Medium,Low
EMP0102,Data Analyst,5,PhD,Netherlands,Healthtech,Large (1000-5000),Fully Remote,38,163,GitHub Copilot,3,4.2,68,Integrating,3.4,58,66,2.7,Medium,Medium
EMP0103,Frontend Engineer,16,Bachelor,UK,Fintech,Small (50-200),Hybrid,28,231,Gemini,3,3.7,65,AI-First,4.0,55,58,2.6,Medium,Low
EMP0104,Backend Engineer,1,Bootcamp,France,Fintech,Enterprise (5000+),Fully Remote,29,225,Claude,1,7.7,44,Integrating,9.1,71,49,3.2,Low,Low
EMP0105,Software Engineer,14,Master,Singapore,Gaming,Mid (200-1000),Hybrid,4,156,Claude,4,2.1,60,Experimenting,9.6,63,60,3.0,High,Medium
EMP0106,Cloud Architect,15,Bachelor,Singapore,Automotive,Large (1000-5000),On-site,37,225,ChatGPT,7,4.4,8,Experimenting,1.2,63,44,3.0,High,Medium
EMP0107,Backend Engineer,9,Self-taught,USA,Fintech,Large (1000-5000),Hybrid,44,57,Midjourney,1,6.0,35,Optimizing,1.2,45,35,4.2,Medium,Low
EMP0108,Backend Engineer,15,Master,Singapore,E-commerce,Startup (<50),Hybrid,9,190,GitHub Copilot,1,4.7,31,Integrating,9.3,41,58,3.8,Medium,Low
EMP0109,Prompt Engineer,17,PhD,UK,Fintech,Startup (<50),Hybrid,45,135,GitHub Copilot,7,7.5,62,Optimizing,3.0,52,70,2.7,Low,Medium
EMP0110,Data Scientist,4,Master,Australia,EdTech,Large (1000-5000),Fully Remote,42,196,Gemini,7,3.3,29,Optimizing,2.4,53,48,3.9,Medium,Low
EMP0111,Software Engineer,12,Master,USA,Consulting,Small (50-200),On-site,38,190,Cursor,7,4.0,73,Experimenting,0.4,66,72,3.2,High,High
EMP0112,Backend Engineer,5,PhD,Canada,Automotive,Mid (200-1000),Fully Remote,46,167,Cursor,2,1.2,74,Experimenting,2.8,53,61,2.4,High,Medium
EMP0113,Data Scientist,5,PhD,Netherlands,E-commerce,Startup (<50),On-site,39,75,Gemini,1,5.1,9,Integrating,6.9,48,51,2.4,Low,Medium
EMP0114,Data Scientist,11,Master,France,Cybersecurity,Small (50-200),Hybrid,23,109,Perplexity,1,2.7,12,Experimenting,4.3,59,47,3.2,Medium,Low
EMP0115,Software Engineer,6,PhD,USA,E-commerce,Enterprise (5000+),Hybrid,15,248,Cursor,5,1.7,13,Optimizing,5.2,78,43,3.6,Medium,Low
EMP0116,Prompt Engineer,7,Bachelor,UK,Healthtech,Startup (<50),Hybrid,16,249,GitHub Copilot,7,4.6,19,Integrating,9.2,55,30,3.4,Low,Low
EMP0117,AI Researcher,14,PhD,Netherlands,Cybersecurity,Small (50-200),Hybrid,47,134,Notion AI,7,4.5,11,Integrating,1.1,57,28,4.8,Low,Low
EMP0118,AI Ethics Officer,11,PhD,Australia,Media,Small (50-200),Hybrid,5,173,Notion AI,3,1.1,76,Integrating,0.7,33,61,3.9,Medium,Low
EMP0119,Data Analyst,13,Master,India,Consulting,Mid (200-1000),Fully Remote,19,201,Notion AI,3,5.7,19,Optimizing,8.5,55,56,3.2,Medium,Medium
EMP0120,AI Ethics Officer,2,Bachelor,France,Consulting,Mid (200-1000),Hybrid,2,83,Gemini,4,5.2,41,Optimizing,7.7,56,47,2.9,Low,Low
EMP0121,Frontend Engineer,7,Bootcamp,UK,Consulting,Enterprise (5000+),Hybrid,13,83,Notion AI,3,1.9,43,AI-First,2.6,64,37,4.0,Low,Low
EMP0122,Cloud Architect,4,Bootcamp,France,Consulting,Small (50-200),On-site,42,66,Cursor,6,4.0,10,Optimizing,3.2,61,43,3.1,Low,Low
EMP0123,Data Analyst,8,Self-taught,Germany,Gaming,Small (50-200),Hybrid,43,139,ChatGPT,4,5.9,61,Integrating,3.1,52,48,4.0,Low,Low
EMP0124,Frontend Engineer,19,PhD,India,Consulting,Mid (200-1000),Fully Remote,18,91,Midjourney,7,4.5,23,Experimenting,6.5,65,44,3.4,Medium,Low
EMP0125,Backend Engineer,13,PhD,Netherlands,Consulting,Startup (<50),Fully Remote,20,209,ChatGPT,5,3.5,67,Optimizing,0.6,65,54,3.6,Low,Low
EMP0126,Cloud Architect,14,Bachelor,Singapore,Consulting,Startup (<50),Hybrid,37,64,Cursor,3,2.9,35,AI-First,4.9,39,44,4.0,Low,Low
EMP0127,ML Engineer,10,Bootcamp,UK,Automotive,Large (1000-5000),Fully Remote,49,113,Claude,5,5.1,79,Experimenting,1.3,70,78,2.7,High,High
EMP0128,Software Engineer,11,Self-taught,France,Gaming,Mid (200-1000),Fully Remote,8,78,GitHub Copilot,3,7.5,14,Integrating,8.2,69,44,4.4,Low,Low
EMP0129,Data Analyst,2,Bachelor,Netherlands,SaaS,Large (1000-5000),On-site,10,206,ChatGPT,3,5.5,71,Experimenting,3.8,61,62,3.0,Medium,Medium
EMP0130,Data Analyst,9,PhD,Singapore,E-commerce,Mid (200-1000),Hybrid,9,179,ChatGPT,5,1.1,66,Optimizing,5.3,50,41,3.4,High,Medium
EMP0131,Backend Engineer,17,Bootcamp,Australia,E-commerce,Enterprise (5000+),Hybrid,26,178,Gemini,1,4.0,7,Integrating,0.3,48,47,2.4,Medium,Medium
EMP0132,AI Researcher,3,Self-taught,Australia,Cybersecurity,Small (50-200),Fully Remote,8,152,Gemini,1,7.2,22,Experimenting,0.6,63,49,2.2,Medium,Medium
EMP0133,Data Scientist,6,Master,France,Automotive,Enterprise (5000+),Hybrid,43,42,Gemini,1,1.2,29,AI-First,6.8,42,50,3.7,Medium,Low
EMP0134,Cloud Architect,5,Bootcamp,USA,EdTech,Mid (200-1000),Fully Remote,9,154,Cursor,6,7.9,24,Integrating,7.7,68,33,3.8,Low,Low
EMP0135,Backend Engineer,5,Self-taught,Germany,E-commerce,Small (50-200),Hybrid,25,61,Perplexity,1,7.6,62,Integrating,7.1,51,63,2.5,Medium,Medium
EMP0136,Product Manager,15,Bachelor,USA,Fintech,Startup (<50),Fully Remote,18,43,Perplexity,3,1.1,54,Integrating,7.4,57,49,2.8,Medium,Medium
EMP0137,Prompt Engineer,17,Master,Germany,EdTech,Startup (<50),On-site,13,175,Notion AI,7,7.5,14,Integrating,1.0,55,56,3.5,Low,Medium
EMP0138,Data Scientist,9,Self-taught,UK,Consulting,Large (1000-5000),Hybrid,47,53,Claude,2,3.2,25,Integrating,6.9,57,38,3.2,Medium,Low
EMP0139,Software Engineer,3,Self-taught,Canada,Consulting,Mid (200-1000),Hybrid,32,53,ChatGPT,5,6.8,33,Integrating,1.8,62,59,3.8,High,Medium
EMP0140,Data Scientist,17,PhD,France,Gaming,Mid (200-1000),Hybrid,13,55,Midjourney,7,3.6,14,Integrating,1.0,48,37,4.9,Low,Low
EMP0141,AI Researcher,10,Bootcamp,Brazil,EdTech,Startup (<50),Hybrid,3,199,Notion AI,2,3.8,17,Optimizing,7.6,53,43,3.1,Medium,Low
EMP0142,Data Scientist,3,PhD,France,Fintech,Enterprise (5000+),Fully Remote,13,103,Notion AI,7,5.3,51,Optimizing,8.9,70,63,3.2,Medium,Medium
EMP0143,Software Engineer,18,Master,India,Gaming,Small (50-200),Hybrid,28,243,Gemini,6,6.3,27,Integrating,7.2,58,43,3.8,High,Medium
EMP0144,AI Researcher,18,Self-taught,Singapore,Cybersecurity,Enterprise (5000+),Fully Remote,47,55,Claude,2,0.8,54,Integrating,8.1,29,53,2.7,High,Medium
EMP0145,AI Ethics Officer,17,PhD,India,EdTech,Enterprise (5000+),On-site,8,91,Cursor,4,4.9,8,Optimizing,9.9,56,44,3.0,High,Medium
EMP0146,Data Analyst,3,Bootcamp,Australia,Automotive,Startup (<50),On-site,14,58,Notion AI,1,1.9,71,Experimenting,1.3,66,52,3.2,Medium,Low
EMP0147,Data Analyst,3,Master,Germany,Consulting,Startup (<50),Fully Remote,37,108,Claude,6,3.1,57,Experimenting,9.7,58,47,2.9,Low,Medium
EMP0148,Prompt Engineer,6,Bachelor,Singapore,Consulting,Startup (<50),On-site,2,179,Gemini,7,3.1,6,Integrating,6.0,78,21,4.8,Low,Low
EMP0149,Frontend Engineer,13,PhD,Australia,Healthtech,Large (1000-5000),Fully Remote,36,132,GitHub Copilot,3,4.0,72,Optimizing,8.1,47,58,2.9,Medium,Low
EMP0150,AI Ethics Officer,15,Master,Singapore,Gaming,Enterprise (5000+),Fully Remote,31,44,Notion AI,1,3.0,69,Experimenting,6.5,40,54,2.6,Medium,Medium
EMP0151,AI Ethics Officer,9,Bachelor,USA,SaaS,Mid (200-1000),On-site,32,81,ChatGPT,1,1.3,61,Optimizing,5.7,51,56,3.1,High,High
EMP0152,Cloud Architect,4,PhD,Australia,SaaS,Small (50-200),Hybrid,18,56,Gemini,2,1.6,74,Optimizing,7.0,45,59,3.3,Medium,Medium
EMP0153,Data Scientist,14,Master,USA,Gaming,Large (1000-5000),Hybrid,9,150,Midjourney,4,0.8,11,AI-First,3.2,61,43,3.2,Medium,Low
EMP0154,Data Analyst,5,Master,USA,Automotive,Mid (200-1000),Fully Remote,4,111,ChatGPT,1,4.0,23,Experimenting,9.2,48,53,2.2,Medium,Medium
EMP0155,Software Engineer,2,PhD,Singapore,Media,Enterprise (5000+),Fully Remote,11,143,Claude,7,7.7,48,Optimizing,1.2,78,85,2.2,Low,Medium
EMP0156,DevOps Engineer,11,Master,Netherlands,Gaming,Startup (<50),On-site,35,133,Perplexity,7,1.4,67,Experimenting,3.2,59,57,2.5,Medium,Medium
EMP0157,DevOps Engineer,9,Self-taught,India,Automotive,Enterprise (5000+),Fully Remote,23,49,Midjourney,5,7.6,69,Integrating,0.3,60,59,2.6,Medium,Medium
EMP0158,AI Researcher,3,PhD,Australia,Cybersecurity,Small (50-200),Fully Remote,5,55,ChatGPT,5,6.0,43,Integrating,2.7,65,61,3.2,High,Medium
